cohort_month,acquisition_source,month_number,active_users,cohort_size,retention_percentage
2019-01-01,Adwords,0,2,2,100.0
2019-01-01,Email,0,2,2,100.0
2019-01-01,Email,16,1,2,50.0
2019-01-01,Email,41,1,2,50.0
2019-01-01,Organic,0,2,2,100.0
2019-02-01,Adwords,0,5,5,100.0
2019-02-01,Adwords,85,1,5,20.0
2019-02-01,Email,0,9,9,100.0
2019-02-01,Email,2,1,9,11.11
2019-02-01,Email,7,1,9,11.11
2019-02-01,Email,14,1,9,11.11
2019-02-01,Email,15,1,9,11.11
2019-02-01,Email,48,1,9,11.11
2019-02-01,Email,53,1,9,11.11
2019-02-01,Email,78,1,9,11.11
2019-02-01,Facebook,0,1,1,100.0
2019-02-01,Organic,0,1,1,100.0
2019-02-01,Organic,35,1,1,100.0
2019-02-01,Organic,55,1,1,100.0
2019-02-01,Organic,65,1,1,100.0
2019-02-01,YouTube,0,3,3,100.0
2019-03-01,Adwords,0,6,6,100.0
2019-03-01,Adwords,4,1,6,16.67
2019-03-01,Adwords,45,1,6,16.67
2019-03-01,Adwords,60,1,6,16.67
2019-03-01,Adwords,68,1,6,16.67
2019-03-01,Adwords,70,2,6,33.33
2019-03-01,Email,0,13,13,100.0
2019-03-01,Email,17,2,13,15.38
2019-03-01,Email,23,1,13,7.69
2019-03-01,Email,30,1,13,7.69
2019-03-01,Email,50,1,13,7.69
2019-03-01,Email,54,1,13,7.69
2019-03-01,Email,56,1,13,7.69
2019-03-01,Email,83,1,13,7.69
2019-03-01,Facebook,0,1,1,100.0
2019-03-01,Organic,0,2,2,100.0
2019-03-01,Organic,22,1,2,50.0
2019-03-01,Organic,25,1,2,50.0
2019-03-01,Organic,49,1,2,50.0
2019-03-01,Organic,50,1,2,50.0
2019-03-01,YouTube,0,1,1,100.0
2019-03-01,YouTube,18,1,1,100.0
2019-04-01,Adwords,0,14,14,100.0
2019-04-01,Adwords,5,1,14,7.14
2019-04-01,Adwords,11,1,14,7.14
2019-04-01,Adwords,30,2,14,14.29
2019-04-01,Adwords,33,1,14,7.14
2019-04-01,Adwords,44,1,14,7.14
2019-04-01,Adwords,46,1,14,7.14
2019-04-01,Adwords,47,1,14,7.14
2019-04-01,Adwords,48,1,14,7.14
2019-04-01,Adwords,55,1,14,7.14
2019-04-01,Adwords,70,1,14,7.14
2019-04-01,Adwords,81,1,14,7.14
2019-04-01,Adwords,83,1,14,7.14
2019-04-01,Adwords,85,1,14,7.14
2019-04-01,Email,0,24,24,100.0
2019-04-01,Email,11,1,24,4.17
2019-04-01,Email,15,1,24,4.17
2019-04-01,Email,29,1,24,4.17
2019-04-01,Email,34,1,24,4.17
2019-04-01,Email,60,1,24,4.17
2019-04-01,Email,66,1,24,4.17
2019-04-01,Email,76,1,24,4.17
2019-04-01,Email,79,2,24,8.33
2019-04-01,Email,80,1,24,4.17
2019-04-01,Email,83,1,24,4.17
2019-04-01,Email,85,1,24,4.17
2019-04-01,Facebook,0,2,2,100.0
2019-04-01,Facebook,7,1,2,50.0
2019-04-01,Facebook,61,1,2,50.0
2019-04-01,Organic,0,4,4,100.0
2019-04-01,Organic,9,1,4,25.0
2019-04-01,Organic,25,1,4,25.0
2019-04-01,Organic,54,1,4,25.0
2019-04-01,YouTube,0,2,2,100.0
2019-04-01,YouTube,81,1,2,50.0
2019-05-01,Adwords,0,17,17,100.0
2019-05-01,Adwords,2,1,17,5.88
2019-05-01,Adwords,11,1,17,5.88
2019-05-01,Adwords,12,1,17,5.88
2019-05-01,Adwords,13,1,17,5.88
2019-05-01,Adwords,14,1,17,5.88
2019-05-01,Adwords,16,1,17,5.88
2019-05-01,Adwords,17,1,17,5.88
2019-05-01,Adwords,22,1,17,5.88
2019-05-01,Adwords,28,1,17,5.88
2019-05-01,Adwords,30,1,17,5.88
2019-05-01,Adwords,39,3,17,17.65
2019-05-01,Adwords,40,1,17,5.88
2019-05-01,Adwords,65,1,17,5.88
2019-05-01,Adwords,67,1,17,5.88
2019-05-01,Email,0,21,21,100.0
2019-05-01,Email,7,1,21,4.76
2019-05-01,Email,11,1,21,4.76
2019-05-01,Email,16,1,21,4.76
2019-05-01,Email,19,1,21,4.76
2019-05-01,Email,21,1,21,4.76
2019-05-01,Email,23,1,21,4.76
2019-05-01,Email,24,1,21,4.76
2019-05-01,Email,39,1,21,4.76
2019-05-01,Email,44,1,21,4.76
2019-05-01,Email,78,1,21,4.76
2019-05-01,Facebook,0,8,8,100.0
2019-05-01,Facebook,11,1,8,12.5
2019-05-01,Facebook,14,1,8,12.5
2019-05-01,Facebook,22,1,8,12.5
2019-05-01,Facebook,50,2,8,25.0
2019-05-01,Facebook,66,1,8,12.5
2019-05-01,Facebook,67,1,8,12.5
2019-05-01,Facebook,77,1,8,12.5
2019-05-01,Facebook,83,1,8,12.5
2019-05-01,Organic,0,6,6,100.0
2019-05-01,Organic,8,1,6,16.67
2019-05-01,Organic,14,1,6,16.67
2019-05-01,Organic,28,1,6,16.67
2019-05-01,Organic,48,1,6,16.67
2019-05-01,Organic,78,1,6,16.67
2019-05-01,YouTube,0,5,5,100.0
2019-05-01,YouTube,35,1,5,20.0
2019-06-01,Adwords,0,20,20,100.0
2019-06-01,Adwords,19,1,20,5.0
2019-06-01,Adwords,24,1,20,5.0
2019-06-01,Adwords,45,1,20,5.0
2019-06-01,Adwords,59,1,20,5.0
2019-06-01,Adwords,62,1,20,5.0
2019-06-01,Adwords,63,1,20,5.0
2019-06-01,Adwords,69,1,20,5.0
2019-06-01,Adwords,72,1,20,5.0
2019-06-01,Adwords,73,1,20,5.0
2019-06-01,Adwords,74,1,20,5.0
2019-06-01,Adwords,77,2,20,10.0
2019-06-01,Adwords,80,2,20,10.0
2019-06-01,Email,0,22,22,100.0
2019-06-01,Email,11,1,22,4.55
2019-06-01,Email,20,1,22,4.55
2019-06-01,Email,26,1,22,4.55
2019-06-01,Email,32,1,22,4.55
2019-06-01,Email,35,1,22,4.55
2019-06-01,Email,48,1,22,4.55
2019-06-01,Email,49,1,22,4.55
2019-06-01,Email,57,2,22,9.09
2019-06-01,Email,66,1,22,4.55
2019-06-01,Email,80,1,22,4.55
2019-06-01,Facebook,0,8,8,100.0
2019-06-01,Facebook,2,1,8,12.5
2019-06-01,Facebook,22,1,8,12.5
2019-06-01,Facebook,25,1,8,12.5
2019-06-01,Facebook,31,1,8,12.5
2019-06-01,Facebook,32,1,8,12.5
2019-06-01,Facebook,37,1,8,12.5
2019-06-01,Facebook,78,1,8,12.5
2019-06-01,Organic,0,3,3,100.0
2019-06-01,Organic,6,1,3,33.33
2019-06-01,Organic,45,1,3,33.33
2019-06-01,Organic,54,1,3,33.33
2019-06-01,Organic,71,1,3,33.33
2019-06-01,YouTube,0,8,8,100.0
2019-06-01,YouTube,4,1,8,12.5
2019-06-01,YouTube,7,1,8,12.5
2019-06-01,YouTube,11,1,8,12.5
2019-06-01,YouTube,69,1,8,12.5
2019-06-01,YouTube,78,1,8,12.5
2019-07-01,Adwords,0,19,19,100.0
2019-07-01,Adwords,7,1,19,5.26
2019-07-01,Adwords,13,1,19,5.26
2019-07-01,Adwords,15,1,19,5.26
2019-07-01,Adwords,25,1,19,5.26
2019-07-01,Adwords,32,1,19,5.26
2019-07-01,Adwords,35,1,19,5.26
2019-07-01,Adwords,37,1,19,5.26
2019-07-01,Adwords,48,1,19,5.26
2019-07-01,Adwords,63,1,19,5.26
